Date,Price,Open,High,Low,Vol.,Change %
05-04-16,41.8,41.8,41.8,41.8,,-0.19%
05-03-16,41.88,41.88,41.88,41.88,,-1.34%
05-02-16,42.45,42.45,42.45,42.45,,8.76%
04/29/2016,39.03,39.03,39.03,39.03,,0.08%
04/28/2016,39,39,39,39,,0.08%
04/27/2016,38.97,38.97,38.97,38.97,,0.44%
04/26/2016,38.8,38.8,38.8,38.8,,0.44%
04/25/2016,38.63,38.63,38.63,38.63,,-0.34%
04/22/2016,38.76,38.76,38.76,38.76,,0.49%
04/21/2016,38.57,38.57,38.57,38.57,,-0.92%
04/20/2016,38.93,38.93,38.93,38.93,,1.59%
04/19/2016,38.32,38.32,38.32,38.32,,1.00%
04/18/2016,37.94,37.94,37.94,37.94,,-0.26%
04/15/2016,38.04,38.04,38.04,38.04,,-1.17%
04/14/2016,38.49,38.49,38.49,38.49,,-0.39%
04/13/2016,38.64,38.64,38.64,38.64,,-1.00%
04-12-16,39.03,39.03,39.03,39.03,,3.45%
04-11-16,37.73,37.73,37.73,37.73,,1.59%
04-08-16,37.14,37.14,37.14,37.14,,4.94%
04-07-16,35.39,35.39,35.39,35.39,,-0.95%
04-06-16,35.73,35.73,35.73,35.73,,4.63%
04-05-16,34.15,34.15,34.15,34.15,,0.29%
04-04-16,34.05,34.05,34.05,34.05,,-1.99%
04-01-16,34.74,34.74,34.74,34.74,,-1.14%
03/31/2016,35.14,35.14,35.14,35.14,,-0.11%
03/30/2016,35.18,35.18,35.18,35.18,,0.20%
03/29/2016,35.11,35.11,35.11,35.11,,-0.31%
03/28/2016,35.22,35.22,35.22,35.22,,-0.03%
03/24/2016,35.23,35.23,35.23,35.23,,-0.23%
03/23/2016,35.31,35.31,35.31,35.31,,-1.29%
03/22/2016,35.77,35.77,35.77,35.77,,0.25%
03/21/2016,35.68,35.68,35.68,35.68,,0.34%
03/18/2016,35.56,35.56,35.56,35.56,,-0.14%
03/17/2016,35.61,35.61,35.61,35.61,,1.66%
03/16/2016,35.03,35.03,35.03,35.03,,2.52%
03/15/2016,34.17,34.17,34.17,34.17,,-0.99%
03/14/2016,34.51,34.51,34.51,34.51,,-1.37%
03-11-16,34.99,34.99,34.99,34.99,,1.13%
03-10-16,34.6,34.6,34.6,34.6,,-1.87%
03-09-16,35.26,35.26,35.26,35.26,,2.59%
03-08-16,34.37,34.37,34.37,34.37,,-2.83%
03-07-16,35.37,35.37,35.37,35.37,,5.11%
03-04-16,33.65,33.65,33.65,33.65,,4.18%
03-03-16,32.3,32.3,32.3,32.3,,0.62%
03-02-16,32.1,32.1,32.1,32.1,,-0.22%
03-01-16,32.17,32.17,32.17,32.17,,9.80%
02/29/2016,29.3,29.3,29.3,29.3,,-0.20%
02/26/2016,29.36,29.36,29.36,29.36,,0.34%
02/25/2016,29.26,29.26,29.26,29.26,,-0.31%
02/24/2016,29.35,29.35,29.35,29.35,,0.17%
02/23/2016,29.3,29.3,29.3,29.3,,-0.88%
02/22/2016,29.56,29.56,29.56,29.56,,1.30%
02/19/2016,29.18,29.18,29.18,29.18,,-1.25%
02/18/2016,29.55,29.55,29.55,29.55,,-0.07%
02/17/2016,29.57,29.57,29.57,29.57,,3.72%
02/16/2016,28.51,28.51,28.51,28.51,,-1.49%
02-12-16,28.94,28.94,28.94,28.94,,7.54%
02-11-16,26.91,26.91,26.91,26.91,,-2.04%
02-10-16,27.47,27.47,27.47,27.47,,-8.65%
02-09-16,30.07,30.07,30.07,30.07,,0.00%
02-08-16,30.07,30.07,30.07,30.07,,0.00%
02-05-16,30.07,30.07,30.07,30.07,,-1.09%
